Rank,Name,Domestic Box Office,Movies,Average
389,Karen Allen,547805009,6,91300835
390,Burt Reynolds,546570962,16,34160685
391,Billy Eichner,543638043,3,181212681
392,JD McCrary,543638043,1,543638043
393,Shahadi Wright Joseph,543638043,1,543638043
394,John Kani,543638043,2,271819022
395,Florence Kasumba,543638043,1,543638043
396,Patrick Gallagher,541853610,3,180617870
397,Mizuo Peck,541853610,3,180617870
398,Bill Skarsgård,541270110,9,60141123
399,Jai Courtney,538736605,7,76962372
400,Jenny Slate,538030332,12,44835861
401,Georgie Henley,537726267,5,107545253
402,Skandar Keynes,537719397,3,179239799
403,Ellie Kemper,537596048,2,268798024
404,Sarah Jessica Parker,537449781,11,48859071
405,Dakota Johnson,533889546,17,31405267
406,Eric Stonestreet,533261409,3,177753803
407,Shailene Woodley,532102690,14,38007335
408,Michael Shannon,529254460,24,22052269
409,Kenneth Branagh,527613837,12,43967820
410,Jordan Peele,527309139,3,175769713
411,Jared Leto,523075990,10,52307599
412,Daniel Stern,522787706,6,87131284
413,Terrence Howard,518043088,16,32377693
414,William Hurt,517372871,25,20694915
415,Jimmy Vee,515202542,1,515202542
416,Michelle Monaghan,514331851,16,32145741
417,Téa Leoni,513601034,7,73371576
418,Daniel Day-Lewis,511773871,15,34118258
419,Sarah Michelle Gellar,511736671,10,51173667
420,Michael Ealy,511191926,12,42599327
421,Christopher Mintz-Plasse,510969566,8,63871196
422,Emilio Estevez,507945934,21,24187902
423,James Corden,506029852,10,50602985
424,Audra McDonald,504014165,2,252007083
425,Josh Hartnett,503519145,19,26501008
426,Josh Hutcherson,503109344,11,45737213
427,William H. Macy,500344570,15,33356305
428,Tracy Morgan,499738760,14,35695626
429,Eric Bana,497692442,16,31105778
430,Judi Dench,496629187,20,24831459
431,Haley Joel Osment,495604424,11,45054948
432,Adewale Akinnuoye-Agbaje,492792459,4,123198115
433,Abigail Breslin,492164301,16,30760269
434,Anjelica Huston,489040764,13,37618520
435,Joel Kinnaman,488150073,11,44377279
436,Tessa Thompson,487569355,10,48756936
437,Elliot Page,486998780,16,30437424
438,Aaron Eckhart,483257969,22,21966271
439,Katherine Waterston,482149132,10,48214913
440,Steven Seagal,481885755,23,20951555
441,Tom McGrath,479917273,3,159972424
442,Neve Campbell,475316868,10,47531687
443,Jake Lloyd,474544677,1,474544677
444,Ginnifer Goodwin,474268390,3,158089463
445,Heather Graham,473772154,21,22560579
446,Chris ‘Ludacris’ Bridges,471060033,5,94212007
447,Tom Wilkinson,470249702,12,39187475
448,Jeff Daniels,469196321,13,36092025
449,Richard Harris,468646791,9,52071866
450,Dylan O’Brien,468129837,10,46812984
451,Sally Field,466966671,8,58370834
452,Anton Yelchin,463550370,16,28971898
453,Stellan Skarsgård,461856160,19,24308219
